Name,Plan Name,Day,Workouts,Included Movements
"""""""NEW YEAR SCULPT"""""" Day 20","""""""NEW YEAR SCULPT""""""",20,REST DAY,
"""""""NEW YEAR SCULPT"""""" Day 21","""""""NEW YEAR SCULPT""""""",21,ROUNDER HIPS,
"""""""NEW YEAR SCULPT"""""" Day 22","""""""NEW YEAR SCULPT""""""",22,BOOTY BULKING,
"""""""NEW YEAR SCULPT"""""" Day 23","""""""NEW YEAR SCULPT""""""",23,11 LINE ABS,
"""""""NEW YEAR SCULPT"""""" Day 24","""""""NEW YEAR SCULPT""""""",24,SLIM LEGS&ROUND BUTT,
"""""""NEW YEAR SCULPT"""""" Day 25","""""""NEW YEAR SCULPT""""""",25,BURN YOUR BELLY,
"""""""NEW YEAR SCULPT"""""" Day 26","""""""NEW YEAR SCULPT""""""",26,SIX PACK ABS&SMALL WAIST,
"""""""NEW YEAR SCULPT"""""" Day 27","""""""NEW YEAR SCULPT""""""",27,STANDING ABS,
"""""""NEW YEAR SCULPT"""""" Day 28","""""""NEW YEAR SCULPT""""""",28,REST DAY,
"""""""NEW YEAR SCULPT"""""" Day 29","""""""NEW YEAR SCULPT""""""",29,GROW YOUR BUTT&NOT THIGH,
"""""""NEW YEAR SCULPT"""""" Day 30","""""""NEW YEAR SCULPT""""""",30,BEACH BUM,
"""""""NEW YEAR SCULPT"""""" Day 31","""""""NEW YEAR SCULPT""""""",31,ABS AND BUTT COMBO,
"""""""NEW YEAR SCULPT"""""" Day 32","""""""NEW YEAR SCULPT""""""",32,REST DAY,
"""""""NEW YEAR SCULPT"""""" Day 33","""""""NEW YEAR SCULPT""""""",33,ROUNDER HIPS,
"""""""NEW YEAR SCULPT"""""" Day 34","""""""NEW YEAR SCULPT""""""",34,BOOTY BULKING,
"""""""NEW YEAR SCULPT"""""" Day 35","""""""NEW YEAR SCULPT""""""",35,STANDING ABS,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
